word,politics,religious,sports,entertainment
পাঠি,-12.641600215834359,-12.694575537525989,0.0,-12.728133100306218
এ,-6.102441404726325,-6.58605108074782,-5.943697703575162,-6.252399669339819
সংশ্লিষ্টতা,-11.641600215834359,0.0,0.0,0.0
ষড়যন্ত্র,-12.641600215834359,0.0,0.0,0.0
নি,-5.9550996886511385,-6.58605108074782,-5.804991432743569,-6.499314409810336
৮,-9.834245293776753,-11.69457553752599,-9.711882028352088,-11.728133100306218
সেপ্টেম্বর,-10.641600215834357,0.0,-11.126919527630932,-10.728133100306216
রা,-6.21533546113226,-6.094662695338862,-6.426479809489839,-6.683738980947763
গণভবন,-10.319672120946995,0.0,0.0,0.0
আওয়ামী,-8.118038259777345,0.0,0.0,0.0
লীগ,-7.149747119504682,0.0,0.0,0.0
স্থানী,-11.056637715113201,-10.372647442638627,0.0,-12.728133100306218
সরক,-8.056637715113201,0.0,0.0,-10.728133100306216
সংসদী,-11.641600215834359,0.0,0.0,0.0
মনোনয়ন,-12.641600215834359,0.0,-10.711882028352088,0.0
বোর্ড,-12.641600215834359,0.0,0.0,-10.14317059958506
যৌথ,-12.641600215834359,0.0,0.0,-12.728133100306218
সভা,-7.941160497693265,-12.694575537525989,0.0,-12.728133100306218
আলোচনা,-11.056637715113201,-10.372647442638627,0.0,-11.728133100306218
উপস্থিত,-11.056637715113201,0.0,0.0,-11.728133100306218
নেতা,-7.886712713670889,-12.694575537525989,-12.71188202835209,-9.558208098863904
গণমাধ্যম,-12.641600215834359,0.0,0.0,-12.728133100306218
জানান,-10.319672120946995,-12.694575537525989,0.0,-10.406205005418855
শেখ,-9.182168597197059,-10.694575537525989,0.0,0.0
হাসিনা,-9.834245293776753,-10.694575537525989,0.0,0.0
শীর্ষ,-10.319672120946995,-12.694575537525989,0.0,0.0
পদ,-9.182168597197059,-9.372647442638627,-9.711882028352088,0.0
সরি,-12.641600215834359,-12.694575537525989,-11.71188202835209,0.0
দেওয়,-10.641600215834357,-12.694575537525989,-10.711882028352088,0.0
কথা,-8.641600215834357,-10.109613036804832,-9.25245040971479,-9.26870148166892
এরপর,-11.641600215834359,0.0,-11.71188202835209,-12.728133100306218
গোলাম,-10.641600215834357,0.0,0.0,-12.728133100306218
রাব্বানী,-10.641600215834357,0.0,0.0,0.0
দুদিন,-12.641600215834359,0.0,-12.71188202835209,0.0
গণবভন,-12.641600215834359,0.0,0.0,0.0
প্রধানমন্ত্রীর,-9.641600215834357,0.0,0.0,0.0
গি,-9.319672120946995,-8.994135819384896,-10.389953933464724,-9.14317059958506
আস,-8.393672702390772,-9.235143918888692,-8.463954514908503,-8.480205586862631
হাছান,-12.641600215834359,0.0,0.0,0.0
মাহমুদ,-11.641600215834359,0.0,0.0,-10.728133100306216
রাষ্ট্রী,-12.641600215834359,-12.694575537525989,0.0,0.0
পৃষ্ঠপোষকতা,-12.641600215834359,0.0,0.0,0.0
খালেদা,-8.734709620225837,0.0,0.0,0.0
জিয়,-8.641600215834357,0.0,-12.71188202835209,0.0
ছেল,-11.056637715113201,0.0,-12.71188202835209,-11.728133100306218
তারেক,-12.641600215834359,0.0,0.0,0.0
রহমান,-10.056637715113201,-12.694575537525989,-12.71188202835209,-11.14317059958506
নেতৃত্ব,-10.641600215834357,0.0,-11.71188202835209,0.0
হত্যা,-10.641600215834357,-11.109613036804832,0.0,0.0
নেতৃত্বহীন,-12.641600215834359,0.0,0.0,0.0
২০০৪,-12.641600215834359,0.0,0.0,0.0
সাল,-10.056637715113201,-11.109613036804832,-9.389953933464724,-8.920778178248613
২১,-12.641600215834359,0.0,-11.126919527630932,0.0
আগস্ট,-11.641600215834359,0.0,0.0,0.0
জনসমাবেশ,-12.641600215834359,0.0,0.0,0.0
গ্রেনেড,-12.641600215834359,0.0,0.0,0.0
হামলা,-11.641600215834359,0.0,-12.71188202835209,0.0
চালানো,-12.641600215834359,0.0,0.0,0.0
হ,-5.026890371719149,-4.539757428473885,-5.389953933464725,-5.084276910531492
বিএনপি,-7.393672702390772,0.0,0.0,0.0
ক্ষমতা,-11.056637715113201,-11.109613036804832,0.0,0.0
শাহ,-11.641600215834359,-11.69457553752599,-12.71188202835209,-11.728133100306218
এম,-10.056637715113201,-11.69457553752599,0.0,-11.728133100306218
কিবরিয়া,-12.641600215834359,0.0,0.0,0.0
আহসান,-12.641600215834359,0.0,0.0,-11.728133100306218
উল্লাহ,-11.641600215834359,-12.694575537525989,0.0,0.0
মাস্টারসহ,-12.641600215834359,0.0,0.0,0.0
বোমা,-12.641600215834359,0.0,0.0,0.0
নিহত,-12.641600215834359,0.0,0.0,0.0
হয়,-10.319672120946995,-11.69457553752599,-10.12691952763093,-9.558208098863904
বিএনপির,-7.941160497693265,0.0,0.0,0.0
ওপর,-9.471675214392045,-11.69457553752599,-10.389953933464724,-11.14317059958506
হামল,-11.056637715113201,0.0,-12.71188202835209,0.0
ঘটনা,-11.641600215834359,-11.109613036804832,-12.71188202835209,-11.728133100306218
ঘটেনি,-12.641600215834359,0.0,0.0,0.0
প্রমাণ,-10.641600215834357,-12.694575537525989,0.0,0.0
প্রতিহিংস,-11.056637715113201,0.0,0.0,0.0
রাজনীতির,-10.641600215834357,0.0,0.0,0.0
জড়িত,-12.641600215834359,0.0,0.0,-12.728133100306218
জাতির,-11.056637715113201,-11.69457553752599,0.0,0.0
ক্ষমা,-12.641600215834359,0.0,0.0,0.0
চা,-8.393672702390772,-8.235143918888692,-8.389953933464724,-6.640670259055877
জাতীয়তাবাদী,-12.641600215834359,0.0,0.0,0.0
